concept_id,preferred_cz,allowed_synonyms_cz,preferred_en,allowed_synonyms_en,source,locator,status
C064,ke kontrole,necesită verificare (RO),for control,,STAT,"STAT alias to_check",Confirmed
C065,čeká na doplnění,în așteptarea informației adiționale (RO),waiting for additional info,,STAT,"STAT alias waiting",Confirmed
C066,čeká na doplnění - 1. urgence,RO: ... - 1 reamintire,waiting for additional info - 1. reminder,,STAT,"STAT alias waiting_reminder_1",Confirmed
C067,čeká na doplnění - 2. urgence,RO: ... - 2 reamintire,waiting for additional info - 2. reminder,,STAT,"STAT alias waiting_reminder_2",Confirmed
C068,žádost doplněna uživatelem,solicitare - informatii adaugate de utilizator (RO),application - info added by user,,STAT,"STAT alias refiled",Confirmed
C069,čeká na žádost zz,în așteptarea solicitantului (RO); zákonný zástupce (ZZ),waiting for applicant,,STAT,"STAT alias waiting_for_fundraiser",Confirmed
C070,čeká na žádost zz - 1. urgence,RO: ... - 1 reamintire,waiting for applicant - 1. reminder,,STAT,"STAT alias reminder_1_fundraiser",Confirmed
C071,čeká na žádost zz - 2. urgence,RO: ... - 2 reamintire,waiting for applicant - 2. reminder,,STAT,"STAT alias reminder_2_fundraiser",Confirmed
C072,čeká na žádost patrona,în așteptarea persoanei garantă (RO),waiting for patron,,STAT,"STAT alias waiting_for_patron",Confirmed
C073,čeká na žádost patrona - 1. urgence,RO: ... - 1 reamintire,waiting for patron - 1. reminder,,STAT,"STAT alias reminder_1_patron",Confirmed
C074,čeká na žádost patrona - 2. urgence,RO: ... - 2 reamintire,waiting for patron - 2. reminder,,STAT,"STAT alias reminder_2_patron",Confirmed
C075,vrácená žádost (nový patron),solicitare returnată (persoana garantă nouă) (RO),application returned - waiting for new patron,,STAT,"STAT alias returned_new_patron",Confirmed
C076,příprava příběhu,procesarea povestii solicitantului (RO),story processing,,STAT,"STAT alias in_progress",Confirmed
C077,scoring kontrola,controlul punctajului (RO),scoring control,,STAT,"STAT alias scoring",Confirmed
C078,scoring ok,punctaj ok (RO),scoring ok,,STAT,"STAT alias scoring_ok",Confirmed
C079,scoring ko,punctaj ko (RO),scoring ko,,STAT,"STAT alias scoring_ko",Confirmed
C080,scoring k doplnění,punctajul urmează să fie finalizat (RO),scoring additional info,,STAT,"STAT alias scoring_waiting",Confirmed
C081,smlouva ke schválení,contract spre aprobare (RO),contract for approval,,STAT,"STAT alias contract",Confirmed
C082,smlouva podepsána žadatelem,contract semnat de solicitant (RO),contract signed by applicant,,STAT,"STAT alias contract_signed",Confirmed
C083,pozastavená žádost,solicitare suspendată (RO),application on hold,,STAT,"STAT alias suspended",Confirmed
C084,zrušená žádost,cerere anulată (RO),canceled application,,STAT,"STAT alias canceled_application",Confirmed
C085,zrušená žádost (timeout),cerere anulată (timp expirat) (RO),canceled application (timeout),,STAT,"STAT alias canceled_timeout",Confirmed
C086,aktivní příběh,poveste activă (RO),active story,,STAT,"STAT alias active",Confirmed
C087,cílová částka nevybrána,suma tinta nu a fost stransa (RO),target amount not collected,,STAT,"STAT alias campaign_uncompleted",Confirmed
C088,nesplněný příběh - vypořádání darů,poveste fără succes - necesită decontarea donaţiilor (RO),unsuccessful story - donations,,STAT,"STAT alias campaign_uncompleted_inprocess",Confirmed
C089,čeká na podpis,se așteaptă semnătura (RO),waiting for signature,,STAT,"STAT alias waiting_signature",Confirmed
C090,čeká na podpis - 1. urgence,RO: ... - 1 reamintire,waiting for signature - 1. reminder,,STAT,"STAT alias waiting_signature_reminder_1",Confirmed
C091,čeká na podpis - 2. urgence,RO: ... - 2 reamintire,waiting for signature - 2. reminder,,STAT,"STAT alias waiting_signature_reminder_2",Confirmed
C092,čeká na podpis - nespolupracující,RO: ... - necooperant,waiting for signature - uncooperative,,STAT,"STAT alias waiting_signature_uncooperative",Confirmed
C093,čeká na zpětnou vazbu,se așteaptă feedback (RO),waiting for feedback,,STAT,"STAT alias waiting_for_feetback (alias typo verbatim)",Confirmed
C094,čeká na zpětnou vazbu - 1. urgence,RO: ... - 1 reamintire,waiting for feedback - 1. reminder,,STAT,"STAT alias waiting_feedback_reminder_1",Confirmed
C095,čeká na zpětnou vazbu - 2. urgence,RO: ... - 2 reamintire,waiting for feedback - 2. reminder,,STAT,"STAT alias waiting_feedback_reminder_2",Confirmed
C096,čeká na zpětnou vazbu - nespolupracující,RO: ... - necooperant,waiting for feedback - uncooperative,,STAT,"STAT alias waiting_feedback_uncooperative",Confirmed
C097,čeká na účetní doklad,în așteptarea facturii/documentului contabil (RO),waiting for accounting doc,,STAT,"STAT alias waiting_for_bill",Confirmed
C098,čeká na konečný doklad,în așteptarea documentului contabil final (RO),waiting for final accounting doc,,STAT,"STAT alias waiting_for_final_doc (isolated, no transition)",Confirmed
C099,chyba,greşeală/eroare (RO),mistake,,STAT,"STAT alias mistake (entity blank)",Confirmed
C100,dar uhrazen,cadou plătit (RO),gift paid,,STAT,"STAT alias gift_paid",Confirmed
C101,duplikát,duplicat (RO),duplicate,,STAT,"STAT alias duplicate (entity blank)",Confirmed
C102,nesplněný příběh,poveste fără succes (RO),unsuccessful story,,STAT,"STAT alias uncompleted",Confirmed
C103,out of scope,scop incompatibil (RO),out of scope,,STAT,"STAT alias out_of_scope (entity blank)",Confirmed
C104,pozastavený příběh,poveste suspendată (RO),story on hold,,STAT,"STAT alias suspended_campaign",Confirmed
C105,splněný příběh - částečné plnění,poveste de succes - parțial (RO),successful story - partly,,STAT,"STAT alias completed_partly_1",Confirmed
C106,splněný příběh,poveste de succes (RO),successful story,,STAT,"STAT alias completed (set programmatically/cron)",Confirmed
C107,zrušený příběh,poveste anulata (RO),canceled story,,STAT,"STAT alias canceled_campaign",Confirmed
C108,zpětná vazba ke zpracování,feedback in procesare (RO),feedback processing,,STAT,"STAT alias feedback_to_proccess (alias typo verbatim)",Confirmed
C109,zpětná vazba odeslána,feedback trimis (RO),feedback sent,,STAT,"STAT alias feedback_sent",Confirmed
C110,úhrada daru,plata cadoului (RO),gift payment,,STAT,"STAT alias gift_payment",Confirmed
C111,uzavřeno,poveste finalizata cu succes (RO),closed story,,STAT,"STAT alias closed",Confirmed
C112,uzavřeno - částečné plnění,poveste finalizata parțial (RO),partly closed story,,STAT,"STAT alias completed_partly",Confirmed
C113,komunikace před žádostí,,communications,,STMAP,"STMAP Jen v kódu, alias communications",Partial
C114,přebráno,,taken,,STMAP,"STMAP Jen v kódu, alias taken",Partial
C115,zrušeno,,canceled,,STMAP,"STMAP Jen v kódu, alias canceled",Partial
C116,zrušená žádost (nevyplněno žadatelem),,canceled (applicant did not complete),,STMAP; TSCEN,"STMAP alias canceled_fundraiser; TSCEN Matrix canceled_fundraiser",Partial
C117,žadatel poskytl zpětnou vazbu,,feedback received,,STMAP; TSCEN,"STMAP alias feedback_received; TSCEN Matrix feedback_received",Partial
C118,čeká na protokol o převzetí,,waiting for handover protocol,,STMAP; TSCEN,"STMAP alias waiting_for_protocol (isolated); TSCEN Matrix waiting_for_protocol",Partial
C119,potvrzený protokol o převzetí daru,,gift-handover protocol approved,,STMAP; TSCEN,"STMAP alias gift_confirmation_approved (isolated); TSCEN Matrix gift_confirmation_approved",Partial
